Category,Item/Subitem,Lifespan (Years),Price Type,Price (CHF),Unit,Notes
Heating / Ventilation / Climate,Boiler,20,-,-,-,-
Heating / Ventilation / Climate,Burner,20,-,-,-,-
Heating / Ventilation / Climate,Control System,20,-,-,-,-
Heating / Ventilation / Climate,Circulation Pump,20,-,-,-,-
Heating / Ventilation / Climate,Chimneys: Stainless Steel,20,-,-,-,-
Heating / Ventilation / Climate,Chimneys: Glass Ceramic,20,-,-,-,-
Heating / Ventilation / Climate,Heat Pump,20,-,-,-,-
Heating / Ventilation / Climate,"Converter for District Heating, incl. Connection Fee",25,-,-,-,-
Heating / Ventilation / Climate,Solar Collectors,20,-,-,-,-
Heating / Ventilation / Climate,Underfloor Heating,30,-,-,-,-
Heating / Ventilation / Climate,Radiators / Heating Walls: Radiator,50,-,-,-,-
Heating / Ventilation / Climate,Radiators / Heating Walls: Towel Radiator,30,Replacement,1000,per piece,-
Heating / Ventilation / Climate,Pipes: Copper/Steel/Cast,50,-,-,-,-
Heating / Ventilation / Climate,Synthetic Resin Paint on Pipes and Radiators,20,New Coat,80,per piece,-
Heating / Ventilation / Climate,Baked Synthetic Resin Paint on Pipes and Radiators,20,-,-,-,-
Heating / Ventilation / Climate,Electrical Installation for Heating System,20,-,-,-,-
Heating / Ventilation / Climate,Oil/Fuel Tank: Indoor,30,-,-,-,-
Heating / Ventilation / Climate,Oil/Fuel Tank: Buried,20,-,-,-,-
Heating / Ventilation / Climate,Leak Protection System,20,-,-,-,-
Heating / Ventilation / Climate,"Measuring Instruments: Heat, Quantity, and Flow Meters",15,-,-,-,-
Heating / Ventilation / Climate,Measuring Instruments: Heating Cost Distributors,15,-,-,-,-
Heating / Ventilation / Climate,Valves: Thermostatic Radiator Valves,20,Replacement,350,per piece,-
Heating / Ventilation / Climate,Valves: Ordinary Radiator Valves,20,Replacement,250,per piece,-
Heating / Ventilation / Climate,"Air Conditioning Units, Small Units for Individual Rooms",15,Replacement,1300,per piece,-
Heating / Ventilation / Climate,Ventilation: Controlled Apartment Ventilation,20,-,-,-,-
Heating / Ventilation / Climate,Ventilation Ducts,25,-,-,-,-
Central Hot Water Preparation,Combi Boiler,20,-,-,-,-
Central Hot Water Preparation,Circulation Pump,20,-,-,-,-
Central Hot Water Preparation,Electrical Installations for Hot Water System,20,-,-,-,-
Central Hot Water Preparation,"Measuring Instruments, Electronic Meters",15,-,-,-,-
Central Hot Water Preparation,Boiler: Combi Boiler Combined with Heating,20,-,-,-,-
Central Hot Water Preparation,Boiler: Electric Boiler,20,-,-,-,-
Central Hot Water Preparation,Boiler: Gas Appliances,20,-,-,-,-
Chimney,"Chimneys: Fireplace, Fireplace Stove",25,-,-,-,-
Chimney,Chimneys: Fireclay Lining,15,New Lining,800,per m²,-
Chimney,Chimneys: Warm Air Fireplace,25,-,-,-,-
Chimney,Chimneys: Fan for Smoke Extraction,20,-,-,-,-
Chimney,Aggregates: For Warm Air Fireplace,20,-,-,-,-
Chimney,Aggregates: For Heat Recovery,20,-,-,-,-
Chimney,"Chimney Closure, Metal Grid, Glass",20,-,-,-,-
Building Envelope,Compact Insulation: Styrofoam,25,-,-,-,-
Building Envelope,Compact Insulation: Mineral Wool Insulation Boards,30,-,-,-,-
Building Envelope,Ventilated Facade Insulation: Wood Cladding,30,-,-,-,-
Building Envelope,Ventilated Facade Insulation: Panels,30,-,-,-,-
Building Envelope,"Ventilated Facade Insulation: Eternit Cladding, Shingles",40,-,-,-,-
Building Envelope,Plaster: Mineral Facade Plasters on Masonry,40,-,-,-,-
Building Envelope,Plaster: Synthetic Plasters Facade on Masonry,25,-,-,-,-
Building Envelope,Plaster: Silicate Paint on Facade Plaster (pure mineral),25,-,-,-,-
Building Envelope,"Plaster: Dispersion Paint, Exterior, Coating for Mineral Substrates",20,-,-,-,-
Building Envelope,Small Repairs on Facade: Patch Hole Superficially,-,-,300,per hole,-
